,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M Questões Banco,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
55,colegiouniverso,0.93,1.45,0.0,0.44,0.36,0.61,0.12,1.7,4.58,0.18,0.0,0.0,0.81,0.47,1.11,0.41,0.83,0.33,0.0,0.27,0.0,0.0,0.11,0.0,1.07,1.0
56,colegioup,0.0,0.0,0.0,0.0,0.94,4.0,11.11,2.55,0.0,11.11,0.0,1.17,3.03,4.0,2.38,3.24,0.13,9.09,0.0,0.04,1.83,0.0,0.11,0.0,0.0,0.85
57,conexaosaber,0.89,0.8,6.07,0.14,2.92,0.1,0.22,0.75,0.0,0.0,0.0,0.33,1.07,0.0,0.0,0.2,0.0,1.75,0.33,0.25,0.0,0.0,1.78,0.25,0.67,4.5
58,contemporaneocidadeverde,0.69,1.49,0.0,1.62,0.18,0.0,0.0,0.21,0.0,0.0,0.77,0.0,0.19,0.0,0.17,0.0,0.08,0.0,0.0,0.29,0.0,0.0,1.8,0.0,0.0,0.0
59,contemporaneolagoanova,0.77,1.67,0.0,0.0,0.14,0.0,0.0,0.33,0.0,0.06,0.42,0.0,0.28,0.0,0.16,0.0,0.49,0.0,0.0,0.45,0.0,0.0,0.56,0.0,0.02,0.0
60,crb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,3.03,3.03,3.03,0.0,2.38,3.03,3.03,0.0,0.0,0.0,3.03,0.0,0.22,0.0,0.0,3.03
61,crescercampinas,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.63,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.8,2.78,0.0,0.56,6.67,0.0,0.12,0.0,0.0,4.55
62,cursobase,1.32,0.92,0.0,0.48,0.0,0.3,0.0,0.42,1.0,0.0,0.0,3.0,0.2,0.44,0.0,0.0,4.25,0.5,0.0,0.0,0.0,0.0,1.33,0.0,0.11,0.0
63,cursoenfase,1.47,0.82,0.0,0.14,0.0,0.1,0.0,0.08,0.0,0.0,0.0,0.0,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0
64,cursoisfera,1.45,0.77,0.0,0.43,0.17,0.3,0.0,1.17,0.5,0.0,0.0,1.0,0.93,0.33,0.0,0.0,0.25,0.25,0.0,0.0,2.33,0.0,0.11,0.0,0.0,0.0
65,cursoleopoldo,0.95,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
66,cursosazambuja,0.84,1.34,0.52,0.52,0.09,0.17,0.07,0.36,0.22,0.31,0.0,1.33,0.35,1.0,0.73,0.07,0.5,0.0,0.07,5.86,6.7,3.8,0.2,0.65,0.46,0.0
67,deltaeducacional,11.11,11.11,0.0,11.11,0.12,0.0,0.0,0.97,0.0,0.0,0.0,0.42,0.82,0.0,0.59,0.48,1.29,0.18,0.0,1.64,0.0,0.0,0.11,0.0,0.0,0.0
68,dommga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,3.0,0.0,0.06,0.0,0.0,0.0,0.03,0.0,0.0,0.2,0.0,0.0,0.17,0.0,0.0,0.0
69,domus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0
70,eacorcovado,1.24,0.93,1.53,0.52,0.43,2.22,5.88,0.11,1.92,0.53,0.42,1.0,0.28,2.58,0.68,1.21,1.06,1.29,0.0,0.09,1.21,0.0,0.22,0.12,0.8,0.53
71,eccos,1.21,0.83,1.0,0.43,1.42,4.3,0.67,0.67,4.0,1.0,0.0,1.33,2.67,3.44,0.0,0.2,0.0,6.5,25.33,0.25,30.67,0.0,0.22,25.0,11.11,1.0
72,educandarioterciocorreia,0.0,0.0,0.0,0.0,6.25,0.0,0.0,2.9,0.0,0.0,0.0,1.17,2.94,0.0,1.94,2.52,1.29,0.91,0.0,1.4,8.33,0.0,0.0,0.0,0.0,7.69
73,educarse,0.98,1.2,0.07,0.81,0.0,1.1,0.67,0.17,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,1.25,0.25,0.0,2.25,0.0,0.0,0.0,0.0,1.56,0.0
74,einsteinassis,0.86,1.26,0.4,1.38,2.42,9.5,11.11,4.42,16.0,50.0,0.0,7.67,0.87,4.56,0.25,0.2,5.25,0.5,0.0,4.83,1.67,0.0,0.11,0.25,0.56,0.0
75,elitecuritiba,1.35,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,6.67,0.0,0.29,0.0
76,elitecuritibaemilianoperneta,1.39,0.8,0.13,0.67,2.08,1.9,0.33,2.75,2.0,0.0,0.0,1.0,4.33,2.33,0.0,0.0,1.25,1.75,0.0,0.17,2.67,0.0,0.11,0.0,0.11,0.0
77,escolaceciliameireles,0.82,0.83,6.53,0.05,0.58,0.0,0.0,0.67,0.5,0.0,0.0,1.0,0.47,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.11,0.0
78,escolamaster,0.94,0.77,0.0,4.76,0.25,0.2,0.11,0.0,0.0,0.0,0.0,0.0,0.27,0.22,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
79,escolavida,1.52,0.77,0.07,0.05,0.92,0.0,0.22,0.08,0.0,0.0,0.0,2.33,0.07,0.0,0.0,0.0,0.0,0.25,0.0,1.33,0.0,0.0,3.11,0.0,0.0,0.0
80,faculdadeflamingo,1.27,0.97,0.58,0.6,0.47,1.31,1.36,0.06,0.59,0.14,0.0,1.16,0.57,1.38,0.17,0.16,0.0,0.41,0.38,0.0,0.25,0.29,0.14,0.43,0.22,0.17
81,forumcultural,0.95,0.97,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,francobrasileiro,1.08,0.94,0.0,2.48,0.0,1.5,0.33,0.0,0.0,0.0,1.0,1.33,0.0,2.0,1.5,0.0,0.25,0.0,0.0,0.33,0.0,0.0,0.0,0.5,0.0,0.0
83,fundacaobradesco,1.26,1.32,0.0,1.42,0.5,0.0,0.0,1.56,0.78,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,idaam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,2.33,0.06,0.0,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
85,insa,1.06,1.03,0.2,1.52,0.75,1.0,4.11,1.42,0.0,0.0,0.0,3.67,1.0,6.33,0.25,0.0,9.75,1.0,0.0,0.33,0.0,0.0,0.22,0.0,5.33,0.0
86,institutocristao,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.68,0.0,0.0,0.0,0.0,1.58,0.0,2.94,3.45,2.45,0.27,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
87,institutoeurofarma,1.17,0.95,0.07,1.29,0.5,0.3,0.0,0.17,1.0,0.0,0.0,1.0,1.2,1.11,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4.0,5.11,0.0,0.22,0.0
88,integra,1.05,1.06,2.07,0.05,6.17,1.3,6.22,2.33,0.5,2.5,0.0,3.0,2.6,0.67,0.0,0.0,0.0,25.0,33.33,0.25,33.33,50.0,0.44,14.5,8.56,50.0
89,integradaeducativa,0.95,1.19,0.27,1.1,2.64,0.56,0.8,3.36,0.11,1.0,2.31,0.0,3.23,0.8,0.83,3.41,1.0,1.96,0.14,0.0,0.0,0.0,5.8,0.18,0.58,1.22
90,invictus,0.82,1.24,2.47,0.14,4.25,1.2,4.33,5.33,0.5,5.5,0.0,1.33,4.07,1.56,0.25,0.2,4.25,7.75,0.0,1.25,2.33,0.0,1.56,0.0,9.56,0.5
91,isem,1.16,0.9,1.08,0.14,1.09,0.06,0.27,0.93,0.11,1.12,0.0,0.0,1.81,0.13,0.39,1.1,0.0,3.12,1.43,0.29,0.2,0.4,1.8,1.0,0.54,2.61
92,itamarati,1.2,0.82,1.6,0.0,0.18,0.06,0.4,0.07,0.0,0.5,0.0,1.33,0.16,0.07,0.02,0.14,0.0,1.5,3.86,1.0,0.1,0.0,0.93,2.24,0.62,1.17
93,jardimsaopaulo,0.97,0.97,0.0,3.05,0.0,0.0,0.11,0.08,0.0,0.0,0.0,0.0,0.13,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0
94,laboratoriosromildo,0.77,1.52,0.33,0.0,0.42,0.1,0.11,0.33,0.0,0.0,0.0,0.0,0.4,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.33,0.0
95,litteratus,1.11,1.0,0.8,1.05,0.08,0.1,0.11,0.42,0.5,0.0,2.0,0.0,0.07,0.33,0.0,0.0,0.25,0.0,0.0,1.92,0.67,0.0,1.56,0.0,0.0,0.0
96,macvest,1.29,0.89,0.07,0.81,0.17,1.5,4.11,2.08,2.5,9.0,0.0,3.33,0.6,1.67,0.0,0.0,0.25,0.75,0.0,0.83,4.33,4.0,0.11,0.5,6.11,0.0
97,magister,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.16,0.0,0.0,8.33,0.0,0.21,0.0,0.26,0.21,0.0,0.27,0.0,4.0,0.08,0.0,5.56,0.0,0.0,0.85
98,maplebearslz,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.49,0.0,0.0,0.0,1.0,1.22,0.0,0.0,0.0,0.13,0.94,0.0,0.17,0.0,0.0,0.06,0.0,0.0,0.0
99,mariliamattoso,1.11,0.94,1.7,0.29,1.64,0.56,0.73,0.36,0.22,0.44,0.77,1.33,2.39,0.33,1.17,2.69,8.33,3.5,1.43,0.14,4.1,2.4,4.8,1.24,0.96,0.17
100,master,1.41,0.86,0.0,0.55,0.0,0.0,0.0,1.44,0.0,0.0,0.67,0.0,0.86,0.0,1.21,0.11,0.07,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0
101,montessori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
102,motiva,0.97,0.97,0.0,3.1,0.0,0.2,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.75,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0
103,novotempo,0.79,1.42,0.21,2.22,0.0,0.0,0.0,0.07,0.08,0.94,0.83,0.0,0.03,0.0,0.05,0.0,1.23,0.0,0.0,9.09,0.0,0.0,1.67,0.0,0.02,0.0
104,nucleocriativo,0.79,1.45,0.53,0.14,1.83,0.2,0.22,0.67,0.0,0.0,0.0,2.0,0.87,0.22,0.0,0.0,0.0,0.0,0.0,7.0,0.33,0.0,8.44,0.5,0.33,0.0
105,objetivolorena,1.05,1.01,1.35,0.67,3.05,0.83,1.73,2.71,0.22,0.31,0.0,0.0,1.0,0.47,1.27,0.62,0.42,1.12,1.71,0.14,0.2,0.0,0.2,1.35,1.79,0.5
106,objetivoteresina,1.27,1.31,0.0,1.39,4.17,0.67,1.52,1.56,0.0,0.67,0.0,0.0,7.44,0.0,3.29,3.77,1.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,oficinadoestudante,1.31,0.99,0.37,0.15,0.47,0.14,0.18,0.65,0.06,0.0,0.0,0.0,1.83,0.14,0.31,0.11,0.13,1.65,0.0,0.09,0.3,0.0,0.0,0.0,0.28,0.0
108,overabelcabral,0.82,1.34,0.9,0.29,1.73,1.06,1.53,0.86,0.0,0.31,0.0,1.33,1.45,0.93,1.66,0.34,0.33,0.58,2.14,0.29,0.0,3.0,0.47,2.12,1.92,1.67
109,overjoaopessoa,0.89,1.35,0.07,0.24,0.75,0.8,0.44,0.92,0.0,0.0,0.0,2.33,0.73,0.22,0.0,0.0,0.5,0.0,0.0,0.42,0.0,0.0,0.44,0.0,0.0,0.0
110,overlimaesilva,0.89,1.3,1.13,0.0,2.25,0.3,1.22,0.92,0.0,0.0,0.0,0.0,2.33,0.22,0.0,0.0,0.0,1.25,0.0,0.33,0.0,0.0,0.0,0.25,1.22,0.0
