,namespace,Total Conteudos,ARTICLE,Tarefas,AUDIO,EMBEDCONTENT,S.Exs,GDOCS,GSHEETS,GSLIDES,LINKCONTENT,LINKEDEXAM,PRESENTATION,VIDEO,VIDEOCONF
138,litteratus,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
139,luizgonzaga,125,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,65.0,0.0
140,macvest,919,102.0,11.0,1.0,2.0,129.0,1.0,0.0,0.0,137.0,0.0,457.0,77.0,2.0
141,manoelbatista,9,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
142,manoelbernardino,11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
143,manoelfrancisco,8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
144,manoelmarcelino,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
145,manoelqueiroz,21,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0
146,maplebearslz,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,mariacarmo,38,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0
148,mariaeunice,538,17.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,78.0,112.0,0.0
149,marialaura,516,0.0,167.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,293.0,0.0
150,marialeao,12,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
151,mariamerces,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
152,marianair,1026,180.0,394.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,48.0,363.0,0.0
153,mariaolinda,263,16.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,157.0,0.0
154,mariliamattoso,4406,262.0,799.0,0.0,3.0,56.0,0.0,0.0,7.0,159.0,3.0,2541.0,513.0,63.0
155,master,71,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
156,mastersolucoes,586,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,317.0,0.0,136.0,130.0,1.0
157,melquiadescamelo,16,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0
158,moaciralves,1124,152.0,158.0,0.0,0.0,82.0,1.0,0.0,0.0,138.0,0.0,134.0,457.0,2.0
159,mocinhagomes,161,5.0,47.0,0.0,4.0,31.0,2.0,0.0,1.0,8.0,0.0,10.0,53.0,0.0
160,monsenhorfrancisco,62,33.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0
161,monsenhorgoncalo,758,172.0,130.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,5.0,443.0,0.0
162,motiva,157,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,123.0,16.0,0.0
163,msetemporario,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164,murilorocha,1899,320.0,408.0,28.0,5.0,53.0,0.0,0.0,0.0,229.0,6.0,454.0,385.0,11.0
165,navegasas,178,0.0,21.0,0.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,65.0,31.0,0.0
166,novotempo,12,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
167,nsfatima,473,69.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,258.0,0.0
168,nucleocriativo,1236,5.0,145.0,0.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,5.0,140.0,917.0
169,objetivolorena,4463,1260.0,1009.0,0.0,0.0,304.0,0.0,0.0,2.0,13.0,0.0,1198.0,260.0,417.0
