,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs
149,monsenhorgoncalo,1.11,1.74,0.13,0.01
150,motiva,1.26,1.25,0.0,0.5
151,murilorocha,1.46,1.29,0.14,0.05
152,navegasas,1.51,1.24,0.04,0.21
153,novotempo,1.03,1.68,0.03,0.26
154,nsfatima,1.09,1.57,0.32,0.0
155,nucleocriativo,1.03,1.88,0.07,0.02
156,objetivolorena,1.53,1.27,0.15,0.05
157,objetivoteresina,1.27,1.24,0.0,0.49
158,oficinadoestudante,1.79,1.14,0.04,0.02
159,overabelcabral,1.19,1.69,0.1,0.02
160,overjoaopessoa,1.17,1.73,0.01,0.04
161,overlimaesilva,1.17,1.67,0.15,0.0
162,overmarciliofurtado,1.11,1.85,0.03,0.01
163,overmossoro,1.21,1.65,0.12,0.01
164,overnascimentodecastro,1.17,1.75,0.0,0.0
165,overpontanegra,1.13,1.74,0.12,0.01
166,overzonanorte,1.16,1.78,0.05,0.01
167,palmares,1.26,1.24,0.0,0.5
168,pauloviana,1.52,1.27,0.08,0.05
169,physicsalcindocacela,1.84,1.05,0.0,0.09
170,physicsalmirantebarroso,1.53,1.12,0.03,0.3
171,physicsaugustomontenegro,1.74,1.03,0.02,0.2
172,physicsbatistacampos,1.55,1.04,0.06,0.35
173,physicscidadenova,1.55,1.06,0.03,0.34
174,physicsconselheirofurtado,1.96,1.02,0.0,0.02
175,physicsmacapa,1.49,1.09,0.03,0.38
176,physicsumarizal,1.57,1.08,0.02,0.29
177,pioxi,1.2,1.43,0.35,0.02
178,portalsas,1.36,1.18,0.0,0.46
179,portinari,1.48,1.08,0.39,0.03
180,porto,1.33,1.19,0.04,0.43
181,portoseguro,1.25,1.24,0.0,0.51
182,primeirodemaio,1.75,1.12,0.01,0.09
183,prismapatrocinio,1.06,1.0,0.0,0.94
184,profederal,1.79,1.07,0.02,0.11
185,provaspoliedro,1.33,1.0,0.25,0.3
186,psantagema,1.31,1.03,0.19,0.47
187,redeapogeu,1.26,1.24,0.0,0.5
188,sagradafamilia,1.19,1.22,0.0,0.59
189,santadoroteia,1.43,1.18,0.0,0.39
190,santoagostinho,1.26,1.24,0.0,0.5
191,santoamerico,1.61,1.11,0.16,0.11
192,santoamericoteste,1.27,1.23,0.01,0.5
193,santoantonio,1.26,1.24,0.0,0.5
194,sas,1.24,1.21,0.0,0.56
195,sasadapt,1.25,1.24,0.01,0.48
196,sasadaptem,1.27,1.23,0.0,0.5
197,sasadaptfund,1.36,1.22,0.0,0.41
198,saseducacao,1.24,1.24,0.0,0.52
199,senhorbonfim,1.19,1.63,0.06,0.07
200,serios,1.26,1.24,0.0,0.49
