,namespace,(Prof) M.Correções,(Admin) M.Correções,(Prof) M.Comentários Forum,(Admin) M.Comentários Forum,(Student) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Resultados,(Student) M. de Likes,(Student) M. de Uploads
145,colegiosaoluis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,equipe,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
147,forumcultural,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
148,franciscoperes,0.0,0.0,1.0,0.0,5.0,0.0,0.0,89.0,0.0
149,iracemarufino,0.0,0.0,9.0,0.0,2.0,0.0,0.0,9.0,2.0
150,ismart,0.0,0.0,8.0,0.0,12.0,0.0,3.0,52.0,0.0
151,liessin,0.0,0.0,9.0,0.0,1.0,2.0,0.0,109.0,0.0
152,overnascimentodecastro,0.0,0.0,1.0,0.0,1.0,0.0,4.0,59.0,0.0
153,profederal,0.0,0.0,1.0,0.0,0.0,2.0,12.0,124.0,1.0
154,anossaatmosfera,0.0,0.0,0.0,4.0,6.0,0.0,0.0,37.0,0.0
155,beityaacov,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
156,benjaminconstant,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0
157,dante,0.0,0.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0
158,idb,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
159,laboratoriosromildo,0.0,0.0,0.0,1.0,7.0,0.0,0.0,444.0,0.0
160,navegasas,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
161,santoantonio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
162,cognitivo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
163,elitecuritiba,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1307.0,0.0
164,escoladofuturo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
165,francobrasileiro,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0
166,josesoares,0.0,0.0,0.0,0.0,1.0,2.0,0.0,25.0,0.0
167,master,0.0,0.0,0.0,0.0,5.0,6.0,729.0,124.0,0.0
168,monsenhorgoncalo,0.0,0.0,0.0,0.0,3.0,2.0,0.0,75.0,0.0
169,sasadaptfund,0.0,0.0,0.0,0.0,3.0,0.0,0.0,27.0,0.0
170,cnslpb,0.0,0.0,0.0,0.0,0.0,15.0,36.0,0.0,0.0
171,colegiomagnum,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
172,contemporaneocidadeverde,0.0,0.0,0.0,0.0,0.0,69.0,4.0,0.0,0.0
173,contemporaneolagoanova,0.0,0.0,0.0,0.0,0.0,55.0,11.0,1.0,0.0
174,eluneonline,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
175,goncalomartins,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
176,habilisescolaecurso,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
177,jardimsaopaulo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
178,josemelo,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
179,manoelmarcelino,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
180,pedrocamelo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
181,plannetataboao,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
182,portoseguro,0.0,0.0,0.0,0.0,0.0,30.0,21.0,0.0,0.0
183,prevest,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
184,santoamericoteste,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
185,bernardosayao,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186,colegionovopatio,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
187,cursoenfase,0.0,0.0,0.0,0.0,0.0,0.0,5.0,173.0,0.0
188,domus,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
189,idaam,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,0.0
190,mastersolucoes,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
191,montessori,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
192,motiva,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
193,pauloviana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
194,poliedro,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
195,sagradafamilia,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,0.0
196,santadoroteia,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0
197,serios,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
198,simbios,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
199,zecarioca,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200,colegiopremiumgentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
201,cursoleopoldo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0
202,liessinbarra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
203,luizgonzaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
204,melquiadescamelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
205,oficinadoestudante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
206,souhabilis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
207,venceslauchaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
