,namespace,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
162,colegioanchietai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,colegioanchietaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,colegiobianguloiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,colegiomagnum,0.0,0.0,0.0,0.0,0.0,11.45,0.0,0.0,0.0
166,colegiomartinus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
167,colegionovopatio,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0
168,colegiopremiumgentil,0.0,0.0,0.0,0.0,0.0,49.0,0.0,1.88,0.0
169,colegioprogresso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,colegioriobranco,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.67,0.0
171,colegiosaberviver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,colegiosantamaria,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
173,contemporaneocidadeverde,0.0,0.0,5.27,0.01,0.0,36.86,1.0,0.05,0.0
174,contemporaneolagoanova,0.0,0.0,13.65,0.0,0.0,13.65,2.0,0.5,0.0
175,crb,0.0,0.0,0.0,74.38,0.0,0.73,0.0,0.0,0.01
176,culturainglesa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0
177,cursoleopoldo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0
178,dante,0.0,1.0,5.0,0.0,0.0,5.0,0.0,0.1,0.0
179,dommga,0.0,0.0,4.6,0.0,0.0,2.88,0.0,0.0,0.0
180,domus,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0
181,duquecastilho,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
182,educamais,0.0,7.0,0.0,0.0,0.0,0.0,9.0,2.0,2.67
183,elitecuritiba,0.0,1.0,0.0,0.0,0.0,138.0,1.0,12.97,0.0
184,eluneonline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,equipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,escolaidaam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
