,namespace,Produto,n_usuarios,licenças,Deal Owner
308,prevest,Banco,73.0,30 - 400,S/Deal Owner Hubspot
309,primeiromundo,Banco,35.0,30 - 400,S/Deal Owner Hubspot
310,recriar,Banco,24.0,0 - 30,S/Deal Owner Hubspot
311,rosadesaron,Banco,5.0,0 - 30,Talitha Diane Santos
312,rosanaponte,Banco,4.0,0 - 30,Talitha Diane Santos
313,santoagostinhomg,Banco,9.0,0 - 30,S/Deal Owner Hubspot
314,saoluiz,Banco,9.0,0 - 30,S/Deal Owner Hubspot
315,saosebastiao,Banco,37.0,30 - 400,S/Deal Owner Hubspot
316,scoredu,Banco,4.0,0 - 30,S/Deal Owner Hubspot
317,senninha,Banco,10.0,0 - 30,Talitha Diane Santos
318,sistemaeducacionalmaster,Banco,15.0,0 - 30,S/Deal Owner Hubspot
319,sonhodecrianca,Banco,11.0,0 - 30,Talitha Diane Santos
320,sosmamaecoruja,Banco,12.0,0 - 30,S/Deal Owner Hubspot
321,tialo,Banco,59.0,30 - 400,S/Deal Owner Hubspot
322,tiathais,Banco,56.0,30 - 400,S/Deal Owner Hubspot
323,venceslauchaves,Banco,203.0,30 - 400,S/Deal Owner Hubspot
324,viladainfanciaeusebio,Banco,10.0,0 - 30,Talitha Diane Santos
325,viladainfanciafortaleza,Banco,14.0,0 - 30,Talitha Diane Santos
326,vitaldidonet,Banco,10.0,0 - 30,Talitha Diane Santos
327,zecarioca,Banco,426.0,400 - 800,S/Deal Owner Hubspot
328,colegiosantadoroteia,Banco,6.0,0 - 30,S/Deal Owner Hubspot
329,augustolaranja,Banco,5.0,0 - 30,S/Deal Owner Hubspot
330,classea,Banco,5.0,0 - 30,S/Deal Owner Hubspot
331,saobento,Banco,5.0,0 - 30,S/Deal Owner Hubspot
332,cruzeiro,Banco,5.0,0 - 30,S/Deal Owner Hubspot
333,notredame,Banco,7.0,0 - 30,S/Deal Owner Hubspot
334,lerote,Banco,5.0,0 - 30,S/Deal Owner Hubspot
335,santoamericoteste,Banco,12.0,0 - 30,S/Deal Owner Hubspot
336,arena,Banco,5.0,0 - 30,S/Deal Owner Hubspot
337,colegiosaoluis,Banco,6.0,0 - 30,S/Deal Owner Hubspot
338,veracruz,Banco,5.0,0 - 30,S/Deal Owner Hubspot
339,santacruz,Banco,5.0,0 - 30,S/Deal Owner Hubspot
340,esmg,Banco,4.0,0 - 30,S/Deal Owner Hubspot
341,elvirabrandao,Banco,5.0,0 - 30,S/Deal Owner Hubspot
342,bahema,Banco,5.0,0 - 30,S/Deal Owner Hubspot
343,cognita,Banco,6.0,0 - 30,S/Deal Owner Hubspot
344,gaylussac,Banco,5.0,0 - 30,S/Deal Owner Hubspot
345,santamaria,Banco,5.0,0 - 30,S/Deal Owner Hubspot
346,magnum,Banco,5.0,0 - 30,S/Deal Owner Hubspot
347,tomasdeaquino,Banco,5.0,0 - 30,S/Deal Owner Hubspot
348,redeapogeu,Banco,32.0,30 - 400,S/Deal Owner Hubspot
349,liderasas,Banco,5.0,0 - 30,S/Deal Owner Hubspot
